Date,Open,High,Low,Close,Adj Close,Volume
2016-03-31,69.620003,69.830002,68.209999,68.379997,63.062160,322300
2016-04-01,68.099998,71.849998,68.000000,71.620003,66.050186,344500
2016-04-04,69.269997,69.269997,64.300003,65.239998,60.166348,1152000
2016-04-05,65.220001,67.419998,65.220001,65.500000,60.406128,568200
2016-04-06,65.500000,68.169998,65.440002,67.459999,62.213696,296400
2016-04-07,67.320000,68.080002,66.089996,66.809998,61.614254,234300
2016-04-08,66.959999,67.230003,65.820000,66.110001,60.968700,151700
2016-04-11,66.099998,66.650002,65.239998,65.269997,60.194012,185100
2016-04-12,65.230003,66.269997,64.500000,65.000000,59.945011,201600
2016-04-13,65.379997,66.809998,64.910004,66.580002,61.402134,383100
2016-04-14,66.489998,67.510002,65.930000,67.510002,62.259823,397500
2016-04-15,67.250000,67.610001,64.370003,64.830002,59.788235,355100
2016-04-18,64.750000,66.370003,63.750000,65.930000,60.802692,245200
2016-04-19,66.180000,66.360001,65.290001,66.120003,60.977921,169600
2016-04-20,65.980003,66.730003,65.870003,66.199997,61.051697,92000
2016-04-21,66.370003,66.489998,65.070000,65.300003,60.221699,127000
2016-04-22,65.120003,68.000000,65.120003,67.360001,62.121483,216200
2016-04-25,67.190002,67.580002,65.730003,66.199997,61.051697,179300
2016-04-26,66.320000,67.059998,65.750000,66.860001,61.660378,182300
2016-04-27,66.849998,67.059998,66.059998,66.809998,61.614254,114000
2016-04-28,66.660004,66.730003,64.209999,64.239998,59.244122,288700
2016-04-29,64.099998,64.660004,63.209999,64.029999,59.050446,260400
2016-05-02,64.250000,67.879997,64.080002,67.540001,62.287483,600400
2016-05-03,69.730003,69.730003,67.370003,68.570000,63.237385,455600
2016-05-04,68.220001,68.260002,64.599998,66.260002,61.107033,559100
2016-05-05,66.339996,67.650002,66.129997,67.169998,61.946255,247900
2016-05-06,67.150002,67.489998,64.730003,65.720001,60.609016,344800
2016-05-09,65.550003,67.290001,65.169998,66.940002,61.734158,216000
2016-05-10,67.199997,67.199997,66.029999,66.930000,61.724926,192500
2016-05-11,66.220001,66.230003,65.279999,65.529999,60.870342,177300
2016-05-12,65.559998,66.230003,65.250000,65.949997,61.260471,136300
2016-05-13,65.949997,66.330002,64.800003,65.040001,60.415184,115300
2016-05-16,65.180000,66.720001,64.849998,66.470001,61.743488,155500
2016-05-17,66.349998,66.459999,64.150002,64.589996,59.997177,190600
2016-05-18,64.440002,65.470001,63.770000,64.459999,59.876423,175700
2016-05-19,64.309998,65.040001,63.900002,64.870003,60.257275,135300
2016-05-20,65.110001,65.940002,64.519997,65.769997,61.093269,137400
